antecedents,consequents,support,confidence,lift
"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Sexo del Agresor=Hombre,0.349,0.662,1.01
Escenario del Hecho=Vivienda,Sexo del Agresor=Hombre,0.505,0.662,1.009
"Sexo de la victima=Hombre, Sexo del Agresor=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo","Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.148,0.662,1.026
"Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda, Sexo del Agresor=Mujer",Sexo de la victima=Mujer,0.137,0.661,1.121
"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo",Sexo del Agresor=Hombre,0.444,0.659,1.004
Sexo de la victima=Mujer,"Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.388,0.659,1.021
"Escenario del Hecho=Vivienda, Sexo del Agresor=Mujer",Sexo de la victima=Mujer,0.167,0.656,1.113
Sexo de la victima=Hombre,"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo",0.269,0.656,0.973
"Zona del Hecho=Cabecera municipal, Sexo del Agresor=Hombre, Sexo de la victima=Mujer","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.2,0.653,1.091
"Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Sexo del Agresor=Hombre,0.388,0.648,0.987
"Factor Desencadenante de la Agresión=Intolerancia, machismo, Sexo del Agresor=Mujer","Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.177,0.646,1.003
"Zona del Hecho=Cabecera municipal, Sexo de la victima=Mujer","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.32,0.646,1.08
"Factor Desencadenante de la Agresión=Intolerancia, machismo",Sexo del Agresor=Hombre,0.5,0.644,0.982
"Zona del Hecho=Cabecera municipal, Sexo del Agresor=Mujer","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.177,0.644,1.076
"Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda, Sexo de la victima=Mujer",Sexo del Agresor=Hombre,0.25,0.643,0.98
"Zona del Hecho=Cabecera municipal, Sexo del Agresor=Mujer, Sexo de la victima=Mujer","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.119,0.639,1.068
"Sexo de la victima=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo","Zona del Hecho=Cabecera municipal, Sexo del Agresor=Hombre",0.198,0.638,1.142
